ID,Homepage,Homepage _Duration,Aboutus,Aboutus_Duration,Contactus,Contactus_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Province,TrafficType,VisitorType,Weekend
1,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,4,1,1,1,1,2,0
2,0,0.0,0,0.0,24,743.75,0.0,0.016666667,0.0,0.0,11,2,2,2,2,0,1
3,0,0.0,0,0.0,13,129.5,0.015384615,0.05384615400000001,0.0,0.0,10,2,2,3,1,2,0
4,3,84.0,0,0.0,59,1720.422222,0.026984127000000004,0.038231522000000004,0.0,0.0,9,3,2,1,3,2,1
5,0,0.0,0,0.0,13,390.5,0.038461537999999997,0.05384615400000001,0.0,0.0,11,2,2,1,13,2,0
6,0,0.0,0,0.0,12,259.5,0.008333333,0.033333333,0.0,0.0,4,2,4,6,6,2,0
7,3,86.33333333,0,0.0,14,1256.333333,0.0,0.023076923,0.0,0.0,10,1,1,4,2,2,0
8,0,0.0,0,0.0,5,182.625,0.0,0.008,0.0,0.0,11,3,2,8,13,2,0
9,0,0.0,1,0.0,50,1115.459524,0.007843137,0.015686275,0.0,0.0,4,3,2,6,4,2,1
10,6,32.5,2,62.5,80,1190.418903,0.005714286,0.027420635,7.5301071429999995,0.8,4,2,2,1,4,2,0
11,0,0.0,0,0.0,9,104.83333329999999,0.022222222000000003,0.072222222,0.0,0.0,2,2,2,4,2,2,0
12,0,0.0,0,0.0,30,1285.166667,0.0027586209999999997,0.022660099,0.0,0.0,10,3,3,1,8,2,1
13,0,0.0,0,0.0,15,337.0,0.02,0.032222222,0.0,0.0,6,1,8,1,1,2,0
14,0,0.0,0,0.0,35,1608.7,0.0,0.002857143,0.0,0.0,8,2,4,3,2,0,0
15,0,0.0,1,0.0,0,0.0,0.2,0.2,0.0,0.0,10,1,1,4,15,2,0
16,0,0.0,0,0.0,4,10.0,0.1,0.15,0.0,0.0,10,2,2,1,1,2,0
